Hours since start,Temp in C,,,,
0.00,23.1,,,,
0.08,25.8,,,,
0.18,29.6,,,,
0.27,32,,,,
0.35,33.6,,,,
0.43,35.3,,,,
0.52,36.2,,,,
0.60,37,,,,
0.68,37.6,,,,
0.77,38,,,,
0.85,38.1,,,,
0.93,38.3,,,,
1.02,38.8,,,,
1.10,39,,,,
1.18,39.1,,,,
1.27,39,,,,
1.35,39.3,,,,
1.43,39.3,,,,
1.70,39.2,,,,
3.23,41.1,,,,
4.83,41.8,,,,
6.38,41.7,,,,
7.97,42.1,,,,
10.15,41.9,,,,
11.78,41.7,,,,
13.65,41.6,,,,
15.72,41.2,,,,
16.73,40.6,,,,
17.13,41.4,,,,
17.87,41.2,,,,
19.50,41.6,,,,
20.58,41.6,,,,
22.60,41.3,,,,
23.28,41.4,,,,
24.67,41.1,,,,
26.02,41.2,,,,
27.72,46.1,,,,
27.80,46.2,,,,
28.30,45.9,,,,
28.93,45.6,,,,
29.32,47.6,,,,
30.05,50.4,,,,
30.23,50.6,,,,
